#;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;HOGARES AFILIADOS;HOGARES ABONADOS;MIEMBROS OBJETIVOS;TRANSFERENCIA
340;050408;AYACUCHO;HUANTA;LLOCHEGUA;564;526;1065;113800
341;050409;AYACUCHO;HUANTA;CANAYRE;232;210;442;45000
342;050410;AYACUCHO;HUANTA;UCHURACCAY;443;421;1023;84000
343;050411;AYACUCHO;HUANTA;PUCACOLPA;351;337;903;67700
344;050412;AYACUCHO;HUANTA;CHACA;284;281;657;56600
345;050501;AYACUCHO;LA MAR;SAN MIGUEL;991;984;1958;202100
346;050502;AYACUCHO;LA MAR;ANCO;785;757;1611;154299.14
347;050503;AYACUCHO;LA MAR;AYNA;577;544;1025;116100
348;050504;AYACUCHO;LA MAR;CHILCAS;177;176;372;34700
349;050505;AYACUCHO;LA MAR;CHUNGUI;550;549;1310;110800
350;050506;AYACUCHO;LA MAR;LUIS CARRANZA;165;160;331;33000
351;050507;AYACUCHO;LA MAR;SANTA ROSA;599;554;1105;113399.99
352;050508;AYACUCHO;LA MAR;TAMBO;1189;1152;2607;230299.84
353;050509;AYACUCHO;LA MAR;SAMUGARI;757;700;1391;150699.59
354;050510;AYACUCHO;LA MAR;ANCHIHUAY;488;472;1019;97700
355;050511;AYACUCHO;LA MAR;ORONCCOY;136;133;292;27800
356;050601;AYACUCHO;LUCANAS;PUQUIO;434;437;909;86100
357;050602;AYACUCHO;LUCANAS;AUCARA;161;157;309;31500
358;050603;AYACUCHO;LUCANAS;CABANA;67;64;112;12700
359;050604;AYACUCHO;LUCANAS;CARMEN SALCEDO;83;79;150;16300
360;050605;AYACUCHO;LUCANAS;CHAVI헤;165;148;336;30400
361;050606;AYACUCHO;LUCANAS;CHIPAO;190;190;411;38100
362;050607;AYACUCHO;LUCANAS;HUAC헫UAS;102;97;191;20700
363;050608;AYACUCHO;LUCANAS;LARAMATE;127;125;271;24600
364;050609;AYACUCHO;LUCANAS;LEONCIO PRADO;21;24;40;4800
365;050610;AYACUCHO;LUCANAS;LLAUTA;67;64;131;12600
366;050611;AYACUCHO;LUCANAS;LUCANAS;236;237;443;48900
367;050612;AYACUCHO;LUCANAS;OCA헤;161;163;356;32700
368;050613;AYACUCHO;LUCANAS;OTOCA;141;139;272;30300
369;050615;AYACUCHO;LUCANAS;SAN CRISTOBAL;170;169;427;33400
370;050616;AYACUCHO;LUCANAS;SAN JUAN;42;39;80;8200
371;050617;AYACUCHO;LUCANAS;SAN PEDRO;275;274;634;56000
372;050618;AYACUCHO;LUCANAS;SAN PEDRO DE PALCO;78;80;170;16800
373;050619;AYACUCHO;LUCANAS;SANCOS;193;193;400;38000
374;050620;AYACUCHO;LUCANAS;SANTA ANA DE HUAYCAHUACHO;31;32;54;6300
375;050621;AYACUCHO;LUCANAS;SANTA LUCIA;33;33;72;6600
376;050701;AYACUCHO;PARINACOCHAS;CORACORA;667;652;1359;143400
377;050702;AYACUCHO;PARINACOCHAS;CHUMPI;192;139;385;27500
378;050703;AYACUCHO;PARINACOCHAS;CORONEL CASTA헨DA;65;67;140;13400
379;050704;AYACUCHO;PARINACOCHAS;PACAPAUSA;59;58;107;12000
380;050705;AYACUCHO;PARINACOCHAS;PULLO;277;219;547;44500
381;050706;AYACUCHO;PARINACOCHAS;PUYUSCA;111;115;233;23700
382;050707;AYACUCHO;PARINACOCHAS;SAN FRANCISCO DE RAVACAYCO;32;29;70;6000
383;050708;AYACUCHO;PARINACOCHAS;UPAHUACHO;137;137;301;27400
384;050801;AYACUCHO;PAUCAR DEL SARA SARA;PAUSA;121;118;248;23400
385;050802;AYACUCHO;PAUCAR DEL SARA SARA;COLTA;41;41;74;8300
386;050803;AYACUCHO;PAUCAR DEL SARA SARA;CORCULLA;46;47;87;9400
387;050804;AYACUCHO;PAUCAR DEL SARA SARA;LAMPA;151;155;305;32100
388;050805;AYACUCHO;PAUCAR DEL SARA SARA;MARCABAMBA;25;25;44;4900
389;050806;AYACUCHO;PAUCAR DEL SARA SARA;OYOLO;112;114;267;23100
390;050807;AYACUCHO;PAUCAR DEL SARA SARA;PARARCA;27;29;65;5900
391;050808;AYACUCHO;PAUCAR DEL SARA SARA;SAN JAVIER DE ALPABAMBA;15;15;23;3000
392;050809;AYACUCHO;PAUCAR DEL SARA SARA;SAN JOSE DE USHUA;23;20;53;3800
393;050810;AYACUCHO;PAUCAR DEL SARA SARA;SARA SARA;38;37;66;7300
394;050901;AYACUCHO;SUCRE;QUEROBAMBA;195;196;350;40300
395;050902;AYACUCHO;SUCRE;BELEN;16;16;30;3300
396;050903;AYACUCHO;SUCRE;CHALCOS;46;49;97;10200
397;050904;AYACUCHO;SUCRE;CHILCAYOC;47;48;93;9600
398;050905;AYACUCHO;SUCRE;HUACA헤;23;25;47;5000
399;050906;AYACUCHO;SUCRE;MORCOLLA;111;113;222;23100
400;050907;AYACUCHO;SUCRE;PAICO;46;49;91;9700
401;050908;AYACUCHO;SUCRE;SAN PEDRO DE LARCAY;70;70;154;14200
402;050909;AYACUCHO;SUCRE;SAN SALVADOR DE QUIJE;140;142;249;28700
403;050910;AYACUCHO;SUCRE;SANTIAGO DE PAUCARAY;58;57;106;11800
404;050911;AYACUCHO;SUCRE;SORAS;86;89;163;18200
405;051001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;91;90;176;18899.89
406;051002;AYACUCHO;VICTOR FAJARDO;ALCAMENCA;115;118;240;23900
407;051003;AYACUCHO;VICTOR FAJARDO;APONGO;54;56;102;11100
408;051004;AYACUCHO;VICTOR FAJARDO;ASQUIPATA;18;19;31;3600
409;051005;AYACUCHO;VICTOR FAJARDO;CANARIA;197;188;370;39900
410;051006;AYACUCHO;VICTOR FAJARDO;CAYARA;62;58;121;11900
411;051007;AYACUCHO;VICTOR FAJARDO;COLCA;90;88;167;17700
412;051008;AYACUCHO;VICTOR FAJARDO;HUAMANQUIQUIA;114;111;249;22500
413;051009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;118;116;238;22799.55
414;051010;AYACUCHO;VICTOR FAJARDO;HUAYA;188;192;368;40000
415;051011;AYACUCHO;VICTOR FAJARDO;SARHUA;308;319;658;63900
416;051012;AYACUCHO;VICTOR FAJARDO;VILCANCHOS;278;285;563;58900
417;051101;AYACUCHO;VILCAS HUAMAN;VILCAS HUAMAN;622;638;1162;126800
418;051102;AYACUCHO;VILCAS HUAMAN;ACCOMARCA;96;102;163;20200
419;051103;AYACUCHO;VILCAS HUAMAN;CARHUANCA;64;64;140;12800
420;051104;AYACUCHO;VILCAS HUAMAN;CONCEPCION;232;235;450;47400
421;051105;AYACUCHO;VILCAS HUAMAN;HUAMBALPA;172;174;349;35100
422;051106;AYACUCHO;VILCAS HUAMAN;INDEPENDENCIA;103;103;193;21300
423;051107;AYACUCHO;VILCAS HUAMAN;SAURAMA;100;98;198;19800
424;051108;AYACUCHO;VILCAS HUAMAN;VISCHONGO;394;386;785;76800
425;060102;CAJAMARCA;CAJAMARCA;ASUNCION;922;932;1950;185999.04
426;060103;CAJAMARCA;CAJAMARCA;CHETILLA;475;475;985;94900
427;060104;CAJAMARCA;CAJAMARCA;COSPAN;744;756;1689;151899.58
428;060105;CAJAMARCA;CAJAMARCA;ENCA헤DA;2648;2640;4723;545600
429;060106;CAJAMARCA;CAJAMARCA;JESUS;1551;1528;3406;317099.99
430;060107;CAJAMARCA;CAJAMARCA;LLACANORA;604;596;1127;124800
431;060108;CAJAMARCA;CAJAMARCA;LOS BA헲S DEL INCA;2504;2373;4610;521600
432;060109;CAJAMARCA;CAJAMARCA;MAGDALENA;927;921;1843;195000
433;060110;CAJAMARCA;CAJAMARCA;MATARA;485;475;880;104299.86
434;060111;CAJAMARCA;CAJAMARCA;NAMORA;1154;1128;2531;230599.62
435;060112;CAJAMARCA;CAJAMARCA;SAN JUAN;529;519;1060;108300
436;060201;CAJAMARCA;CAJABAMBA;CAJABAMBA;2096;2069;4211;468499.99
437;060202;CAJAMARCA;CAJABAMBA;CACHACHI;1893;1871;4557;414598.79
438;060203;CAJAMARCA;CAJABAMBA;CONDEBAMBA;1487;1482;3002;304999.44
439;060204;CAJAMARCA;CAJABAMBA;SITACOCHA;867;847;1805;170600
440;060301;CAJAMARCA;CELENDIN;CELENDIN;1960;1912;3725;397199.64
441;060302;CAJAMARCA;CELENDIN;CHUMUCH;370;369;739;76700
442;060303;CAJAMARCA;CELENDIN;CORTEGANA;1156;1156;2456;238299.76
443;060304;CAJAMARCA;CELENDIN;HUASMIN;1667;1661;2895;342700
444;060305;CAJAMARCA;CELENDIN;JORGE CHAVEZ;50;49;74;10300
445;060306;CAJAMARCA;CELENDIN;JOSE GALVEZ;234;224;434;49400
446;060307;CAJAMARCA;CELENDIN;MIGUEL IGLESIAS;651;647;1132;139900
447;060308;CAJAMARCA;CELENDIN;OXAMARCA;962;944;1849;195000
448;060309;CAJAMARCA;CELENDIN;SOROCHUCO;1117;1132;1884;234000
449;060310;CAJAMARCA;CELENDIN;SUCRE;473;454;960;97200
450;060311;CAJAMARCA;CELENDIN;UTCO;142;145;267;29300
451;060312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;979;997;1724;207200
452;060401;CAJAMARCA;CHOTA;CHOTA;3115;3123;5489;763800
453;060402;CAJAMARCA;CHOTA;ANGUIA;441;450;805;92499.74
454;060403;CAJAMARCA;CHOTA;CHADIN;581;585;1066;118799.94
455;060404;CAJAMARCA;CHOTA;CHIGUIRIP;545;556;889;118000
456;060405;CAJAMARCA;CHOTA;CHIMBAN;322;324;656;70599.82
457;060406;CAJAMARCA;CHOTA;CHOROPAMPA;303;310;585;64000
458;060407;CAJAMARCA;CHOTA;COCHABAMBA;755;766;1287;158798.75
459;060408;CAJAMARCA;CHOTA;CONCHAN;687;677;1200;140499.73
460;060409;CAJAMARCA;CHOTA;HUAMBOS;1110;1126;1994;236000
461;060410;CAJAMARCA;CHOTA;LAJAS;1465;1480;2467;308900
462;060411;CAJAMARCA;CHOTA;LLAMA;948;960;1675;207600
463;060412;CAJAMARCA;CHOTA;MIRACOSTA;421;423;993;88400
464;060413;CAJAMARCA;CHOTA;PACCHA;656;654;1213;134800
465;060414;CAJAMARCA;CHOTA;PION;170;174;317;34800
466;060415;CAJAMARCA;CHOTA;QUEROCOTO;1155;1160;2266;241200
467;060416;CAJAMARCA;CHOTA;SAN JUAN DE LICUPIS;105;109;218;21799.67
468;060417;CAJAMARCA;CHOTA;TACABAMBA;1831;1849;3387;393800
469;060418;CAJAMARCA;CHOTA;TOCMOCHE;112;110;182;23499.81
470;060419;CAJAMARCA;CHOTA;CHALAMARCA;1428;1449;2408;296400
471;060501;CAJAMARCA;CONTUMAZA;CONTUMAZA;659;665;1229;134900
472;060502;CAJAMARCA;CONTUMAZA;CHILETE;217;217;373;46099.78
473;060503;CAJAMARCA;CONTUMAZA;CUPISNIQUE;153;152;257;31599.73
474;060504;CAJAMARCA;CONTUMAZA;GUZMANGO;314;317;601;63800
475;060505;CAJAMARCA;CONTUMAZA;SAN BENITO;372;367;650;83900
476;060506;CAJAMARCA;CONTUMAZA;SANTA CRUZ DE TOLED;110;112;202;22400
477;060507;CAJAMARCA;CONTUMAZA;TANTARICA;263;258;503;57800
478;060508;CAJAMARCA;CONTUMAZA;YONAN;510;496;845;110400
479;060601;CAJAMARCA;CUTERVO;CUTERVO;6244;6352;10401;1320798.71
480;060602;CAJAMARCA;CUTERVO;CALLAYUC;1414;1397;2514;285399.96
481;060603;CAJAMARCA;CUTERVO;CHOROS;396;406;690;83900
482;060604;CAJAMARCA;CUTERVO;CUJILLO;388;389;664;79499.55
483;060605;CAJAMARCA;CUTERVO;LA RAMADA;496;507;907;102800
484;060606;CAJAMARCA;CUTERVO;PIMPINGOS;773;769;1444;165200
485;060607;CAJAMARCA;CUTERVO;QUEROCOTILLO;2054;2084;4092;420099.37
486;060608;CAJAMARCA;CUTERVO;SAN ANDRES DE CUTERVO;664;680;1179;138998.78
487;060609;CAJAMARCA;CUTERVO;SAN JUAN DE CUTERVO;304;306;519;61499.47
488;060610;CAJAMARCA;CUTERVO;SAN LUIS DE LUCMA;444;456;760;92399.63
489;060611;CAJAMARCA;CUTERVO;SANTA CRUZ;398;393;773;80699.52
490;060612;CAJAMARCA;CUTERVO;SANTO DOMINGO DE LA CAPILLA;639;647;1166;129999.43
491;060613;CAJAMARCA;CUTERVO;SANTO TOMAS;1045;1078;1919;218599.23
492;060614;CAJAMARCA;CUTERVO;SOCOTA;1182;1190;2187;244700
493;060615;CAJAMARCA;CUTERVO;TORIBIO CASANOVA;153;156;246;31100
494;060701;CAJAMARCA;HUALGAYOC;BAMBAMARCA;7977;7885;12680;1642797.25
495;060702;CAJAMARCA;HUALGAYOC;CHUGUR;361;357;678;85600
496;060703;CAJAMARCA;HUALGAYOC;HUALGAYOC;1590;1610;2587;333499.92
497;060802;CAJAMARCA;JAEN;BELLAVISTA;2025;2011;3469;435099.96
498;060803;CAJAMARCA;JAEN;CHONTALI;1386;1375;2553;300499.67
499;060804;CAJAMARCA;JAEN;COLASAY;1335;1335;2526;290300
500;060805;CAJAMARCA;JAEN;HUABAL;1285;1285;2294;274700
501;060806;CAJAMARCA;JAEN;LAS PIRIAS;629;631;1025;138099.9
502;060807;CAJAMARCA;JAEN;POMAHUACA;1134;1138;2387;237898.55
503;060808;CAJAMARCA;JAEN;PUCARA;671;678;1243;149299.93
504;060809;CAJAMARCA;JAEN;SALLIQUE;991;984;2330;202699.55
505;060810;CAJAMARCA;JAEN;SAN FELIPE;531;542;1171;110200
506;060811;CAJAMARCA;JAEN;SAN JOSE DEL ALTO;1029;1037;1999;246599.84
507;060812;CAJAMARCA;JAEN;SANTA ROSA;1532;1520;2586;362900
508;060901;CAJAMARCA;SAN IGNACIO;SAN IGNACIO;3492;3384;7331;780000
509;060902;CAJAMARCA;SAN IGNACIO;CHIRINOS;1932;1910;3654;439500
510;060903;CAJAMARCA;SAN IGNACIO;HUARANGO;2736;2727;5055;559300
511;060904;CAJAMARCA;SAN IGNACIO;LA COIPA;2303;2299;4454;477600
512;060905;CAJAMARCA;SAN IGNACIO;NAMBALLE;1271;1258;2792;266300
513;060906;CAJAMARCA;SAN IGNACIO;SAN JOSE DE LOURDES;2104;2043;4351;451800
514;060907;CAJAMARCA;SAN IGNACIO;TABACONAS;2881;2906;5995;606200
515;061001;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;1653;1651;2860;346499.78
516;061002;CAJAMARCA;SAN MARCOS;CHANCAY;396;393;780;79100
517;061003;CAJAMARCA;SAN MARCOS;EDUARDO VILLANUEVA;214;212;425;42800
518;061004;CAJAMARCA;SAN MARCOS;GREGORIO PITA;707;709;1337;142900
519;061005;CAJAMARCA;SAN MARCOS;ICHOCAN;179;178;328;37500
520;061006;CAJAMARCA;SAN MARCOS;JOSE MANUEL QUIROZ;444;445;852;89100
521;061007;CAJAMARCA;SAN MARCOS;JOSE SABOGAL;1721;1678;3283;337900
522;061101;CAJAMARCA;SAN MIGUEL;SAN MIGUEL;1576;1606;2573;327799.49
523;061102;CAJAMARCA;SAN MIGUEL;BOLIVAR;145;149;235;29900
524;061103;CAJAMARCA;SAN MIGUEL;CALQUIS;486;493;884;99600
525;061104;CAJAMARCA;SAN MIGUEL;CATILLUC;390;393;660;80400
526;061105;CAJAMARCA;SAN MIGUEL;EL PRADO;160;164;275;33400
527;061106;CAJAMARCA;SAN MIGUEL;LA FLORIDA;261;257;403;52000
528;061107;CAJAMARCA;SAN MIGUEL;LLAPA;570;583;959;118399.99
529;061108;CAJAMARCA;SAN MIGUEL;NANCHOC;147;148;233;30200
530;061109;CAJAMARCA;SAN MIGUEL;NIEPOS;365;372;678;76000
531;061110;CAJAMARCA;SAN MIGUEL;SAN GREGORIO;249;253;418;51000
532;061111;CAJAMARCA;SAN MIGUEL;SAN SILVESTRE DE COCHAN;448;455;720;91600
533;061112;CAJAMARCA;SAN MIGUEL;TONGOD;348;351;609;70900
534;061113;CAJAMARCA;SAN MIGUEL;UNION AGUA BLANCA;389;395;682;79800
535;061201;CAJAMARCA;SAN PABLO;SAN PABLO;1437;1419;2683;288500
536;061202;CAJAMARCA;SAN PABLO;SAN BERNARDINO;642;642;1158;130100
537;061203;CAJAMARCA;SAN PABLO;SAN LUIS;155;158;265;31200
538;061204;CAJAMARCA;SAN PABLO;TUMBADEN;469;472;863;95699.55
539;061301;CAJAMARCA;SANTA CRUZ;SANTA CRUZ;700;706;1281;148200
540;061302;CAJAMARCA;SANTA CRUZ;ANDABAMBA;171;171;319;36400
541;061303;CAJAMARCA;SANTA CRUZ;CATACHE;1030;1031;1984;216100
542;061304;CAJAMARCA;SANTA CRUZ;CHANCAYBA헲S;417;430;768;86000
543;061305;CAJAMARCA;SANTA CRUZ;LA ESPERANZA;287;293;503;61200
544;061306;CAJAMARCA;SANTA CRUZ;NINABAMBA;230;233;413;47000
545;061307;CAJAMARCA;SANTA CRUZ;PULAN;508;514;953;107399.55
546;061308;CAJAMARCA;SANTA CRUZ;SAUCEPAMPA;188;193;337;38400
547;061309;CAJAMARCA;SANTA CRUZ;SEXI;21;22;41;5000
548;061310;CAJAMARCA;SANTA CRUZ;UTICYACU;147;148;298;29800
549;061311;CAJAMARCA;SANTA CRUZ;YAUYUCAN;342;345;604;72200
550;080102;CUSCO;CUSCO;CCORCA;246;236;481;47999.71
551;080201;CUSCO;ACOMAYO;ACOMAYO;447;442;1086;87700
552;080202;CUSCO;ACOMAYO;ACOPIA;253;253;506;50200
553;080203;CUSCO;ACOMAYO;ACOS;245;239;572;47400
554;080204;CUSCO;ACOMAYO;MOSOC LLACTA;59;60;117;12000
555;080205;CUSCO;ACOMAYO;POMACANCHI;870;874;1953;176300
556;080206;CUSCO;ACOMAYO;RONDOCAN;245;243;500;48199.58
557;080207;CUSCO;ACOMAYO;SANGARARA;360;362;803;71600
558;080301;CUSCO;ANTA;ANTA;626;616;1218;122300
559;080302;CUSCO;ANTA;ANCAHUASI;361;368;696;72999.99
560;080304;CUSCO;ANTA;CHINCHAYPUJIO;372;387;812;77200
561;080305;CUSCO;ANTA;HUAROCONDO;393;399;757;79200
562;080306;CUSCO;ANTA;LIMATAMBO;385;387;790;76300
563;080307;CUSCO;ANTA;MOLLEPATA;120;118;242;23400
564;080308;CUSCO;ANTA;PUCYURA;139;141;290;28000
565;080309;CUSCO;ANTA;ZURITE;106;104;172;20600
566;080401;CUSCO;CALCA;CALCA;458;441;981;86800
567;080402;CUSCO;CALCA;COYA;193;195;388;38700
568;080403;CUSCO;CALCA;LAMAY;400;404;933;79399.72
569;080404;CUSCO;CALCA;LARES;991;980;1895;195700
570;080405;CUSCO;CALCA;PISAC;532;532;1181;105700
571;080406;CUSCO;CALCA;SAN SALVADOR;432;417;963;84300
572;080408;CUSCO;CALCA;YANATILE;196;197;375;38800
573;080501;CUSCO;CANAS;YANAOCA;906;914;1789;186699.99
574;080502;CUSCO;CANAS;CHECCA;636;654;1283;130100
575;080503;CUSCO;CANAS;KUNTURKANKI;575;589;1100;116900
576;080504;CUSCO;CANAS;LANGUI;131;137;259;27100
577;080505;CUSCO;CANAS;LAYO;290;304;626;59600
578;080506;CUSCO;CANAS;PAMPAMARCA;86;89;181;17600
579;080507;CUSCO;CANAS;QUEHUE;324;342;674;68900
580;080508;CUSCO;CANAS;TUPAC AMARU;277;298;516;59700
581;080601;CUSCO;CANCHIS;SICUANI;1436;1466;2855;289100
582;080602;CUSCO;CANCHIS;CHECACUPE;367;385;681;76200
583;080603;CUSCO;CANCHIS;COMBAPATA;213;215;408;42300
584;080604;CUSCO;CANCHIS;MARANGANI;470;469;894;92300
585;080605;CUSCO;CANCHIS;PITUMARCA;763;769;1425;154699.99
586;080606;CUSCO;CANCHIS;SAN PABLO;239;245;472;48900
587;080607;CUSCO;CANCHIS;SAN PEDRO;81;82;113;16400
588;080608;CUSCO;CANCHIS;TINTA;203;213;345;42600
589;080701;CUSCO;CHUMBIVILCAS;SANTO TOMAS;1577;1585;3159;313700
590;080702;CUSCO;CHUMBIVILCAS;CAPACMARCA;573;564;1018;119800
591;080703;CUSCO;CHUMBIVILCAS;CHAMACA;796;791;1499;158400
592;080704;CUSCO;CHUMBIVILCAS;COLQUEMARCA;934;949;1742;189000
593;080705;CUSCO;CHUMBIVILCAS;LIVITACA;1572;1586;3354;324100
594;080706;CUSCO;CHUMBIVILCAS;LLUSCO;691;679;1380;137900
595;080707;CUSCO;CHUMBIVILCAS;QUI헲TA;480;475;1129;94700
596;080708;CUSCO;CHUMBIVILCAS;VELILLE;424;423;881;83600
597;080801;CUSCO;ESPINAR;ESPINAR;883;886;1758;174499.68
598;080802;CUSCO;ESPINAR;CONDOROMA;76;76;131;15500
599;080803;CUSCO;ESPINAR;COPORAQUE;938;978;1831;192100
600;080804;CUSCO;ESPINAR;OCORURO;47;46;90;9200
601;080805;CUSCO;ESPINAR;PALLPATA;617;614;1242;122900
602;080806;CUSCO;ESPINAR;PICHIGUA;376;375;733;74500
603;080807;CUSCO;ESPINAR;SUYCKUTAMBO;154;155;295;30800
604;080902;CUSCO;LA CONVENCION;ECHARATE;739;703;1584;153700
605;080904;CUSCO;LA CONVENCION;MARANURA;111;111;183;22000
606;080905;CUSCO;LA CONVENCION;OCOBAMBA;224;231;420;45800
607;080906;CUSCO;LA CONVENCION;QUELLOUNO;259;252;452;51200
608;080907;CUSCO;LA CONVENCION;KIMBIRI;452;442;960;87200
609;080908;CUSCO;LA CONVENCION;SANTA TERESA;302;283;513;56200
610;080909;CUSCO;LA CONVENCION;VILCABAMBA;725;728;1348;145200
611;080910;CUSCO;LA CONVENCION;PICHARI;816;775;1803;154800
612;080911;CUSCO;LA CONVENCION;INKAWASI;377;367;706;73000
613;080912;CUSCO;LA CONVENCION;VILLA VIRGEN;53;52;97;10400
614;080913;CUSCO;LA CONVENCION;VILLA KINTIARINA;125;122;315;26600
615;080914;CUSCO;LA CONVENCION;MEGANTONI;367;346;917;84100
616;081001;CUSCO;PARURO;PARURO;233;227;430;45300
617;081002;CUSCO;PARURO;ACCHA;332;336;700;67999.92
618;081003;CUSCO;PARURO;CCAPI;357;356;666;74500
619;081004;CUSCO;PARURO;COLCHA;66;66;112;13200
620;081005;CUSCO;PARURO;HUANOQUITE;667;685;1241;137200
621;081006;CUSCO;PARURO;OMACHA;769;767;1733;153600
622;081007;CUSCO;PARURO;PACCARITAMBO;182;176;308;35000
623;081008;CUSCO;PARURO;PILLPINTO;33;37;65;7400
624;081009;CUSCO;PARURO;YAURISQUE;278;280;502;56300
625;081101;CUSCO;PAUCARTAMBO;PAUCARTAMBO;1369;1340;3023;272000
626;081102;CUSCO;PAUCARTAMBO;CAICAY;367;365;895;73500
627;081103;CUSCO;PAUCARTAMBO;CHALLABAMBA;1144;1118;2388;225299.51
628;081104;CUSCO;PAUCARTAMBO;COLQUEPATA;988;954;2384;189499.78
629;081105;CUSCO;PAUCARTAMBO;HUANCARANI;702;696;1656;145499.45
630;081106;CUSCO;PAUCARTAMBO;KOS헬PATA;22;21;51;4100
631;081201;CUSCO;QUISPICANCHI;URCOS;551;555;1125;110400
632;081202;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;371;353;757;70200
633;081204;CUSCO;QUISPICANCHI;CCARHUAYO;350;346;761;69600
634;081205;CUSCO;QUISPICANCHI;CCATCA;1672;1635;4200;323500
635;081206;CUSCO;QUISPICANCHI;CUSIPATA;481;451;1019;89100
636;081207;CUSCO;QUISPICANCHI;HUARO;230;223;546;44000
637;081208;CUSCO;QUISPICANCHI;LUCRE;161;155;323;30500
638;081209;CUSCO;QUISPICANCHI;MARCAPATA;547;553;1227;111400
639;081210;CUSCO;QUISPICANCHI;OCONGATE;1974;1923;4309;384400
640;081212;CUSCO;QUISPICANCHI;QUIQUIJANA;1064;1011;2609;198899.96
641;081302;CUSCO;URUBAMBA;CHINCHERO;251;253;531;50200
642;081306;CUSCO;URUBAMBA;OLLANTAYTAMBO;476;441;1059;87300
643;090101;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;733;733;1455;144400
644;090102;HUANCAVELICA;HUANCAVELICA;ACOBAMBILLA;145;151;332;30100
645;090103;HUANCAVELICA;HUANCAVELICA;ACORIA;2311;2357;4674;484499.7
646;090104;HUANCAVELICA;HUANCAVELICA;CONAYCA;48;48;109;9500
647;090105;HUANCAVELICA;HUANCAVELICA;CUENCA;156;153;322;31498.9
648;090106;HUANCAVELICA;HUANCAVELICA;HUACHOCOLPA;138;126;327;25200
649;090107;HUANCAVELICA;HUANCAVELICA;HUAYLLAHUARA;49;52;82;10400
650;090109;HUANCAVELICA;HUANCAVELICA;LARIA;77;77;152;15600
651;090110;HUANCAVELICA;HUANCAVELICA;MANTA;102;103;224;20900
652;090111;HUANCAVELICA;HUANCAVELICA;MARISCAL CACERES;32;32;69;6300
653;090112;HUANCAVELICA;HUANCAVELICA;MOYA;96;98;178;20100
654;090113;HUANCAVELICA;HUANCAVELICA;NUEVO OCCORO;185;183;423;37600
655;090114;HUANCAVELICA;HUANCAVELICA;PALCA;165;167;343;33700
656;090115;HUANCAVELICA;HUANCAVELICA;PILCHACA;52;52;96;10800
657;090116;HUANCAVELICA;HUANCAVELICA;VILCA;241;244;482;49100
658;090117;HUANCAVELICA;HUANCAVELICA;YAULI;3141;3136;7143;636198.57
659;090118;HUANCAVELICA;HUANCAVELICA;ASCENSION;402;370;733;73100
660;090119;HUANCAVELICA;HUANCAVELICA;HUANDO;737;737;1457;151100
661;090201;HUANCAVELICA;ACOBAMBA;ACOBAMBA;942;958;1789;197599.55
662;090202;HUANCAVELICA;ACOBAMBA;ANDABAMBA;417;420;843;85399.96
663;090203;HUANCAVELICA;ACOBAMBA;ANTA;636;647;1374;131099.89
664;090204;HUANCAVELICA;ACOBAMBA;CAJA;174;178;319;35600
665;090205;HUANCAVELICA;ACOBAMBA;MARCAS;173;171;328;34700
